generation,evaluations,mean_parent_fitness,variant,seed
4,400,15.417970349217214,Tournament selection,45
5,500,15.117566836750736,Tournament selection,45
6,600,15.068799099460062,Tournament selection,45
7,700,14.920410492038068,Tournament selection,45
8,800,14.730390896761213,Tournament selection,45
9,900,14.616428599417617,Tournament selection,45
10,1000,14.583366371360308,Tournament selection,45
11,1100,14.54825810777124,Tournament selection,45
12,1200,14.395386805773956,Tournament selection,45
13,1300,14.353711868147396,Tournament selection,45
14,1400,14.357138648367089,Tournament selection,45
15,1500,14.312779251559112,Tournament selection,45
16,1600,14.28360166757056,Tournament selection,45
17,1700,14.244888398113456,Tournament selection,45
18,1800,14.221013493672611,Tournament selection,45
19,1900,14.11697304910874,Tournament selection,45
20,2000,14.201688678480432,Tournament selection,45
21,2100,14.118242083189386,Tournament selection,45
22,2200,14.151710404425788,Tournament selection,45
23,2300,14.106002950733163,Tournament selection,45
24,2400,14.215616653741128,Tournament selection,45
25,2500,14.166593418976085,Tournament selection,45
26,2600,14.157121404110905,Tournament selection,45
27,2700,14.110404315872454,Tournament selection,45
28,2800,14.1188785375834,Tournament selection,45
29,2900,14.0830116345571,Tournament selection,45
30,3000,14.118492004123556,Tournament selection,45
31,3100,14.119246598064604,Tournament selection,45
32,3200,14.052742881633042,Tournament selection,45
33,3300,13.98249599068465,Tournament selection,45
34,3400,14.029680008468247,Tournament selection,45
35,3500,13.990135050197978,Tournament selection,45
36,3600,14.041743913961824,Tournament selection,45
37,3700,14.01229817064701,Tournament selection,45
38,3800,14.126153107519778,Tournament selection,45
39,3900,14.048661882754038,Tournament selection,45
40,4000,14.023787846272768,Tournament selection,45
41,4100,14.055345645475054,Tournament selection,45
42,4200,14.0396919174944,Tournament selection,45
43,4300,13.93190820439566,Tournament selection,45
44,4400,13.797677942383464,Tournament selection,45
45,4500,13.658058046215976,Tournament selection,45
46,4600,13.5755213447399,Tournament selection,45
47,4700,13.49063317763618,Tournament selection,45
48,4800,13.51126299276928,Tournament selection,45
49,4900,13.652954596752483,Tournament selection,45
50,5000,13.764411485977131,Tournament selection,45
51,5100,13.714329153362373,Tournament selection,45
52,5200,13.6971243534317,Tournament selection,45
53,5300,13.64853291952169,Tournament selection,45
54,5400,13.732317777574805,Tournament selection,45
55,5500,13.720699442996908,Tournament selection,45
56,5600,13.609544261396437,Tournament selection,45
57,5700,13.658100364722689,Tournament selection,45
58,5800,13.615519095420895,Tournament selection,45
59,5900,13.675089448697465,Tournament selection,45
60,6000,13.70815809046771,Tournament selection,45
61,6100,13.710947126776412,Tournament selection,45
62,6200,13.711480107941886,Tournament selection,45
63,6300,13.674913844035409,Tournament selection,45
64,6400,13.737037194717606,Tournament selection,45
65,6500,13.729245385428746,Tournament selection,45
66,6600,13.686595001984635,Tournament selection,45
67,6700,13.671015954309327,Tournament selection,45
68,6800,13.725881198754758,Tournament selection,45
69,6900,13.648222598209966,Tournament selection,45
70,7000,13.570412673095642,Tournament selection,45
71,7100,13.470796279929976,Tournament selection,45
72,7200,13.558795375107945,Tournament selection,45
73,7300,13.756029588736869,Tournament selection,45
74,7400,13.65175867621456,Tournament selection,45
75,7500,13.41862725754097,Tournament selection,45
76,7600,13.428451634186112,Tournament selection,45
77,7700,13.492623383579875,Tournament selection,45
78,7800,13.556201736507116,Tournament selection,45
79,7900,13.428863342739463,Tournament selection,45
80,8000,13.628567433160631,Tournament selection,45
81,8100,13.420757496035725,Tournament selection,45
82,8200,13.2865659000215,Tournament selection,45
83,8300,13.264664143467886,Tournament selection,45
84,8400,13.403946675943637,Tournament selection,45
85,8500,13.54302268287191,Tournament selection,45
86,8600,13.687153589601769,Tournament selection,45
87,8700,13.518597653021198,Tournament selection,45
88,8800,13.64013636060702,Tournament selection,45
89,8900,13.599482498606534,Tournament selection,45
90,9000,13.4407847032512,Tournament selection,45
91,9100,13.217300549537606,Tournament selection,45
92,9200,13.174871483052286,Tournament selection,45
93,9300,13.233017134159718,Tournament selection,45
94,9400,13.159282481458488,Tournament selection,45
95,9500,13.15849612073156,Tournament selection,45
96,9600,13.314954775787232,Tournament selection,45
97,9700,13.392051112141203,Tournament selection,45
98,9800,13.156210677595675,Tournament selection,45
99,9900,12.993123371404934,Tournament selection,45
100,10000,13.06786468219806,Tournament selection,45
1,100,19.586396409300324,Tournament selection,46
2,200,16.709041775551384,Tournament selection,46
3,300,15.475293349633294,Tournament selection,46
4,400,14.816958863829218,Tournament selection,46
5,500,14.569779129205171,Tournament selection,46
6,600,14.516830536554142,Tournament selection,46
7,700,14.440429009321988,Tournament selection,46
8,800,14.337308993511751,Tournament selection,46
9,900,14.339881916328917,Tournament selection,46
10,1000,14.256354097835333,Tournament selection,46
11,1100,14.281643675052806,Tournament selection,46
12,1200,14.179059495959637,Tournament selection,46
13,1300,14.166082453423186,Tournament selection,46
14,1400,14.224389147568028,Tournament selection,46
15,1500,13.95357919297651,Tournament selection,46
16,1600,13.897867110870433,Tournament selection,46
17,1700,13.844292390614218,Tournament selection,46
18,1800,13.757059402135596,Tournament selection,46
19,1900,13.587582416885883,Tournament selection,46
20,2000,13.644729772620495,Tournament selection,46
21,2100,13.618555006083032,Tournament selection,46
22,2200,13.761845872479029,Tournament selection,46
23,2300,13.793493119076055,Tournament selection,46
24,2400,13.708553300114191,Tournament selection,46
25,2500,13.833621367518656,Tournament selection,46
26,2600,13.685604551638216,Tournament selection,46
27,2700,13.835805238791703,Tournament selection,46
28,2800,13.724533330017186,Tournament selection,46
29,2900,13.6400062183317,Tournament selection,46
30,3000,13.584552920631436,Tournament selection,46
31,3100,13.52699498976364,Tournament selection,46
32,3200,13.592811658379826,Tournament selection,46
33,3300,13.541338801774618,Tournament selection,46
34,3400,13.72482085001084,Tournament selection,46
35,3500,13.653663374432885,Tournament selection,46
36,3600,13.80944456274564,Tournament selection,46
37,3700,13.81483214940343,Tournament selection,46
38,3800,13.898047035979442,Tournament selection,46
39,3900,13.741796412182104,Tournament selection,46
40,4000,13.87174276179834,Tournament selection,46
41,4100,13.814599646220351,Tournament selection,46
42,4200,13.653370845336823,Tournament selection,46
43,4300,13.557305690967738,Tournament selection,46
44,4400,13.766449001636047,Tournament selection,46
45,4500,13.777389770047908,Tournament selection,46
46,4600,13.786171261979508,Tournament selection,46
47,4700,13.822197812484678,Tournament selection,46
48,4800,13.685793552419176,Tournament selection,46
49,4900,13.665007301449288,Tournament selection,46
50,5000,13.572955745869598,Tournament selection,46
51,5100,13.77191668386122,Tournament selection,46
52,5200,13.751513768443637,Tournament selection,46
53,5300,13.617627730567936,Tournament selection,46
54,5400,13.628576502035385,Tournament selection,46
55,5500,13.647775359694162,Tournament selection,46
56,5600,13.568463463593067,Tournament selection,46
57,5700,13.503580906265343,Tournament selection,46
58,5800,13.432223322080242,Tournament selection,46
59,5900,13.538387467578984,Tournament selection,46
60,6000,13.521310183353586,Tournament selection,46
61,6100,13.62720185157031,Tournament selection,46
62,6200,13.587574154967282,Tournament selection,46
63,6300,13.6071371774247,Tournament selection,46
64,6400,13.585326251166553,Tournament selection,46
65,6500,13.587343894389065,Tournament selection,46
66,6600,13.732961260038778,Tournament selection,46
67,6700,13.643950656572247,Tournament selection,46
68,6800,13.686781116139375,Tournament selection,46
69,6900,13.595066498261488,Tournament selection,46
70,7000,13.74723465626725,Tournament selection,46
71,7100,13.887525641006008,Tournament selection,46
72,7200,13.720761118557116,Tournament selection,46
73,7300,13.791482070513783,Tournament selection,46
74,7400,13.808340163527328,Tournament selection,46
75,7500,13.805428947326504,Tournament selection,46
76,7600,13.682520604298452,Tournament selection,46
77,7700,13.683079091071102,Tournament selection,46
78,7800,13.5455555643028,Tournament selection,46
79,7900,13.581163442631643,Tournament selection,46
80,8000,13.612315614689198,Tournament selection,46
81,8100,13.526692117130173,Tournament selection,46
82,8200,13.566560772107652,Tournament selection,46
83,8300,13.439028026153888,Tournament selection,46
84,8400,13.31667993750598,Tournament selection,46
85,8500,13.2912143957035,Tournament selection,46
86,8600,13.481858088959942,Tournament selection,46
87,8700,13.38421370994971,Tournament selection,46
88,8800,13.612792308198047,Tournament selection,46
89,8900,13.469547407680516,Tournament selection,46
90,9000,13.423169365397175,Tournament selection,46
91,9100,13.469573819355446,Tournament selection,46
92,9200,13.466693693806729,Tournament selection,46
93,9300,13.531214998142158,Tournament selection,46
94,9400,13.380103815578812,Tournament selection,46
95,9500,13.273160209941116,Tournament selection,46
96,9600,13.29374666746278,Tournament selection,46
97,9700,13.356060890179686,Tournament selection,46
98,9800,13.386412509037449,Tournament selection,46
99,9900,13.4480300340815,Tournament selection,46
100,10000,13.35050540673733,Tournament selection,46
1,100,20.78686771880159,Roulette-wheel selection,42
2,200,18.60058318163751,Roulette-wheel selection,42
3,300,17.734440080096615,Roulette-wheel selection,42
4,400,17.244361647887263,Roulette-wheel selection,42
5,500,16.555827622707955,Roulette-wheel selection,42
6,600,16.29153080817365,Roulette-wheel selection,42
7,700,15.991954127218143,Roulette-wheel selection,42
8,800,15.81045116264823,Roulette-wheel selection,42
9,900,15.80722068721658,Roulette-wheel selection,42
10,1000,15.797927427219223,Roulette-wheel selection,42
11,1100,15.536969688138324,Roulette-wheel selection,42
12,1200,15.54586966332224,Roulette-wheel selection,42
13,1300,15.592734842560338,Roulette-wheel selection,42
14,1400,15.48327222248163,Roulette-wheel selection,42
15,1500,15.4288620481002,Roulette-wheel selection,42
16,1600,15.240148524427306,Roulette-wheel selection,42
17,1700,15.55944742740688,Roulette-wheel selection,42
18,1800,15.31377796689058,Roulette-wheel selection,42
19,1900,15.393569781306027,Roulette-wheel selection,42
20,2000,15.51132417925464,Roulette-wheel selection,42
21,2100,15.520424635661431,Roulette-wheel selection,42
22,2200,15.698527585127229,Roulette-wheel selection,42
23,2300,15.802160215520647,Roulette-wheel selection,42
24,2400,15.623661685038837,Roulette-wheel selection,42
25,2500,15.49357233639724,Roulette-wheel selection,42
26,2600,15.7778492765953,Roulette-wheel selection,42
27,2700,15.841179083515923,Roulette-wheel selection,42
28,2800,15.311248360887657,Roulette-wheel selection,42
29,2900,15.544596829806176,Roulette-wheel selection,42
30,3000,15.773705079816173,Roulette-wheel selection,42
31,3100,15.47979986307096,Roulette-wheel selection,42
32,3200,15.574450368376189,Roulette-wheel selection,42
33,3300,15.601222398706737,Roulette-wheel selection,42
34,3400,15.673226264622542,Roulette-wheel selection,42
35,3500,15.639370653919356,Roulette-wheel selection,42
36,3600,15.56224726246344,Roulette-wheel selection,42
37,3700,15.426786500807832,Roulette-wheel selection,42
38,3800,15.320033696219893,Roulette-wheel selection,42
39,3900,15.481034933833772,Roulette-wheel selection,42
40,4000,15.411695332222637,Roulette-wheel selection,42
41,4100,15.408075473144924,Roulette-wheel selection,42
42,4200,15.312737776894668,Roulette-wheel selection,42
43,4300,15.13578603146352,Roulette-wheel selection,42
44,4400,15.344375255482968,Roulette-wheel selection,42
45,4500,15.58293423973688,Roulette-wheel selection,42
46,4600,15.614227650778997,Roulette-wheel selection,42
47,4700,15.203369356547654,Roulette-wheel selection,42
48,4800,15.288163124857508,Roulette-wheel selection,42
49,4900,15.514516355506576,Roulette-wheel selection,42
50,5000,15.270825004391376,Roulette-wheel selection,42
51,5100,15.524782587616224,Roulette-wheel selection,42
52,5200,15.41432439303146,Roulette-wheel selection,42
53,5300,15.368770813260914,Roulette-wheel selection,42
54,5400,15.15761665172161,Roulette-wheel selection,42
55,5500,14.97200412214472,Roulette-wheel selection,42
56,5600,15.185737454371129,Roulette-wheel selection,42
57,5700,15.508782394141631,Roulette-wheel selection,42
58,5800,15.511619593915269,Roulette-wheel selection,42
59,5900,15.20343887090491,Roulette-wheel selection,42
60,6000,15.30616769933697,Roulette-wheel selection,42
61,6100,15.349115615231858,Roulette-wheel selection,42
62,6200,14.927948972993953,Roulette-wheel selection,42
63,6300,15.346300480896398,Roulette-wheel selection,42
64,6400,15.354886543643264,Roulette-wheel selection,42
65,6500,15.482241631158356,Roulette-wheel selection,42
66,6600,15.809091507669104,Roulette-wheel selection,42
67,6700,15.725636997629746,Roulette-wheel selection,42
68,6800,15.364340870395989,Roulette-wheel selection,42
69,6900,15.54961319716214,Roulette-wheel selection,42
70,7000,15.587722430072407,Roulette-wheel selection,42
71,7100,15.267748688627274,Roulette-wheel selection,42
72,7200,15.433024196828304,Roulette-wheel selection,42
73,7300,15.8663642383666,Roulette-wheel selection,42
74,7400,15.35566458893489,Roulette-wheel selection,42
75,7500,15.0446676935766,Roulette-wheel selection,42
76,7600,15.458721281117496,Roulette-wheel selection,42
77,7700,15.571566821878822,Roulette-wheel selection,42
78,7800,15.502648745238345,Roulette-wheel selection,42
79,7900,15.301258008272663,Roulette-wheel selection,42
80,8000,14.825605903872098,Roulette-wheel selection,42
81,8100,15.464228346187491,Roulette-wheel selection,42
82,8200,15.50812076345468,Roulette-wheel selection,42
83,8300,15.607600520641672,Roulette-wheel selection,42
84,8400,15.824546081849846,Roulette-wheel selection,42
85,8500,15.683650107553763,Roulette-wheel selection,42
86,8600,15.594842027279023,Roulette-wheel selection,42
87,8700,15.633493808712265,Roulette-wheel selection,42
88,8800,15.902128437146567,Roulette-wheel selection,42
89,8900,15.568804335258775,Roulette-wheel selection,42
90,9000,15.278181714266315,Roulette-wheel selection,42
91,9100,15.362547059754275,Roulette-wheel selection,42
92,9200,15.419830041192323,Roulette-wheel selection,42
93,9300,14.936171045563716,Roulette-wheel selection,42
94,9400,14.917017849858544,Roulette-wheel selection,42
95,9500,15.05287674121734,Roulette-wheel selection,42
96,9600,15.26548149704758,Roulette-wheel selection,42
97,9700,15.308791640862289,Roulette-wheel selection,42
98,9800,15.209027076418892,Roulette-wheel selection,42
99,9900,15.36905703166418,Roulette-wheel selection,42
100,10000,15.110083860079548,Roulette-wheel selection,42
1,100,20.56650172320148,Roulette-wheel selection,43
2,200,18.51970866268725,Roulette-wheel selection,43
3,300,17.955402317257665,Roulette-wheel selection,43
4,400,17.497448261403893,Roulette-wheel selection,43
5,500,16.598888590693118,Roulette-wheel selection,43
6,600,16.353817015437286,Roulette-wheel selection,43
7,700,16.30047587501762,Roulette-wheel selection,43
8,800,16.134818396329763,Roulette-wheel selection,43
9,900,15.890231739103594,Roulette-wheel selection,43
10,1000,15.829933941410903,Roulette-wheel selection,43
11,1100,16.145446869929856,Roulette-wheel selection,43
12,1200,16.22217042653667,Roulette-wheel selection,43
13,1300,16.017669021901607,Roulette-wheel selection,43
14,1400,15.94157884394078,Roulette-wheel selection,43
