generation,evaluations,best_fitness,mean_fitness,mean_modules,variant,seed
16,1700,13.22736184954957,13.725547468740208,11.98,Tournament selection,45
17,1800,13.16770782520313,13.688430781347853,12.06,Tournament selection,45
18,1900,13.16770782520313,13.632794854674044,12.08,Tournament selection,45
19,2000,13.16770782520313,13.588755659819071,12.19,Tournament selection,45
20,2100,13.048808848170152,13.526882375195838,12.24,Tournament selection,45
21,2200,13.048808848170152,13.447016256743522,12.4,Tournament selection,45
22,2300,13.048808848170152,13.364630414853709,12.61,Tournament selection,45
23,2400,12.869535971483266,13.296711944061553,12.76,Tournament selection,45
24,2500,12.869535971483266,13.245859552729176,12.86,Tournament selection,45
25,2600,12.8295630140987,13.204453244355744,12.92,Tournament selection,45
26,2700,12.8295630140987,13.172657842145052,13.07,Tournament selection,45
27,2800,12.8295630140987,13.146077961412187,13.11,Tournament selection,45
28,2900,12.8295630140987,13.115043010804332,13.17,Tournament selection,45
29,3000,12.7,13.08059347951639,13.21,Tournament selection,45
30,3100,12.7,13.040762233588284,13.27,Tournament selection,45
31,3200,12.7,13.027550823240071,13.3,Tournament selection,45
32,3300,12.7,12.984338861568103,13.19,Tournament selection,45
33,3400,12.7,12.955025540822762,13.34,Tournament selection,45
34,3500,12.7,12.934960440094978,13.39,Tournament selection,45
35,3600,12.7,12.92308313958788,13.46,Tournament selection,45
36,3700,12.7,12.900260224694245,13.45,Tournament selection,45
37,3800,12.7,12.883702944630205,13.4,Tournament selection,45
38,3900,12.7,12.865786467868888,13.39,Tournament selection,45
39,4000,12.7,12.853792934118784,13.38,Tournament selection,45
40,4100,12.7,12.83146345789214,13.46,Tournament selection,45
41,4200,12.7,12.813079145125773,13.56,Tournament selection,45
42,4300,12.7,12.799261555164946,13.7,Tournament selection,45
43,4400,12.7,12.793564616708249,13.7,Tournament selection,45
44,4500,12.7,12.78330108794437,13.7,Tournament selection,45
45,4600,12.7,12.773071775714447,13.75,Tournament selection,45
46,4700,12.7,12.770507115748195,13.76,Tournament selection,45
47,4800,12.7,12.756471015832483,13.84,Tournament selection,45
48,4900,12.7,12.750689576973157,13.88,Tournament selection,45
49,5000,12.7,12.7468578538923,13.93,Tournament selection,45
50,5100,12.7,12.744069982982932,13.96,Tournament selection,45
51,5200,12.7,12.74218452095976,14.0,Tournament selection,45
52,5300,12.7,12.735233041751382,14.0,Tournament selection,45
53,5400,12.7,12.729836963697014,14.0,Tournament selection,45
54,5500,12.7,12.719143827101862,14.0,Tournament selection,45
55,5600,12.7,12.712539905156234,14.0,Tournament selection,45
56,5700,12.7,12.70873794418342,14.0,Tournament selection,45
57,5800,12.7,12.702970585407789,14.0,Tournament selection,45
58,5900,12.7,12.70227744881264,14.0,Tournament selection,45
59,6000,12.7,12.701782351244674,14.0,Tournament selection,45
60,6100,12.7,12.701089214649526,14.0,Tournament selection,45
61,6200,12.7,12.700891175622338,14.0,Tournament selection,45
62,6300,12.7,12.700297058540782,14.0,Tournament selection,45
63,6400,12.7,12.700000000000005,14.0,Tournament selection,45
64,6500,12.7,12.700000000000005,14.0,Tournament selection,45
65,6600,12.7,12.700000000000005,14.0,Tournament selection,45
66,6700,12.7,12.700000000000005,14.0,Tournament selection,45
67,6800,12.7,12.700000000000005,14.0,Tournament selection,45
68,6900,12.7,12.700000000000005,14.0,Tournament selection,45
69,7000,12.7,12.700000000000005,14.0,Tournament selection,45
70,7100,12.7,12.700000000000005,14.0,Tournament selection,45
71,7200,12.7,12.700000000000005,14.0,Tournament selection,45
72,7300,12.7,12.700000000000005,14.0,Tournament selection,45
73,7400,12.7,12.700000000000005,14.0,Tournament selection,45
74,7500,12.7,12.700000000000005,14.0,Tournament selection,45
75,7600,12.7,12.700000000000005,14.0,Tournament selection,45
76,7700,12.7,12.700000000000005,14.0,Tournament selection,45
77,7800,12.7,12.700000000000005,14.0,Tournament selection,45
78,7900,12.7,12.700000000000005,14.0,Tournament selection,45
79,8000,12.7,12.700000000000005,14.0,Tournament selection,45
80,8100,12.7,12.700000000000005,14.0,Tournament selection,45
81,8200,12.7,12.700000000000005,14.0,Tournament selection,45
82,8300,12.7,12.700000000000005,14.0,Tournament selection,45
83,8400,12.7,12.700000000000005,14.0,Tournament selection,45
84,8500,12.7,12.700000000000005,14.0,Tournament selection,45
85,8600,12.7,12.700000000000005,14.0,Tournament selection,45
86,8700,12.7,12.700000000000005,14.0,Tournament selection,45
87,8800,12.7,12.700000000000005,14.0,Tournament selection,45
88,8900,12.7,12.700000000000005,14.0,Tournament selection,45
89,9000,12.7,12.700000000000005,14.0,Tournament selection,45
90,9100,12.7,12.700000000000005,14.0,Tournament selection,45
91,9200,12.7,12.700000000000005,14.0,Tournament selection,45
92,9300,12.7,12.700000000000005,14.0,Tournament selection,45
93,9400,12.7,12.700000000000005,14.0,Tournament selection,45
94,9500,12.7,12.700000000000005,14.0,Tournament selection,45
95,9600,12.7,12.700000000000005,14.0,Tournament selection,45
96,9700,12.7,12.700000000000005,14.0,Tournament selection,45
97,9800,12.7,12.700000000000005,14.0,Tournament selection,45
98,9900,12.7,12.700000000000005,14.0,Tournament selection,45
99,10000,12.7,12.700000000000005,14.0,Tournament selection,45
100,10100,12.7,12.700000000000005,14.0,Tournament selection,45
1,200,15.4494443758404,18.888623002533457,18.84,Tournament selection,46
